title,published_date,duration_seconds,views,likes,comments,engagement_rate,upload_month,published_year,published_month
PONNIE x SƠN TÙNG M-TP | HƠN CẢ SỐ 1,2024-08-11 00:00:00+00:00,61,11552144,51492,4449,0.004842478,2024-08,2024,8
SƠN TÙNG M-TP | 7-MINUTE STAGE | ĐỪNG LÀM TRÁI TIM ANH ĐAU,2024-06-22 00:00:00+00:00,738,4027961,87823,5012,0.023047641,2024-06,2024,6
SƠN TÙNG M-TP | ĐỪNG LÀM TRÁI TIM ANH ĐAU | BEHIND THE SCENES,2024-06-15 00:00:00+00:00,508,2577227,65237,2614,0.026327134,2024-06,2024,6
LA LA LA LA #DLTTAD DANCE 🧩🎧♥️,2024-06-14 00:00:00+00:00,51,728559,37813,798,0.052996394,2024-06,2024,6
ĐỪNG LÀM TRÁI TIM ANH ĐAU | DANCE CHALLENGE 🧩🎧🔥,2024-06-09 00:00:00+00:00,38,2471782,99058,1398,0.040641125,2024-06,2024,6
SƠN TÙNG M-TP | ĐỪNG LÀM TRÁI TIM ANH ĐAU | OFFICIAL MUSIC VIDEO,2024-06-08 00:00:00+00:00,326,156275222,1401502,251126,0.010575112,2024-06,2024,6
Main Poster: ĐỪNG LÀM TRÁI TIM ANH ĐAU ❤️‍🩹,2024-05-31 00:00:00+00:00,10,446827,17739,321,0.040418327,2024-05,2024,5
SƠN TÙNG M-TP | ĐỪNG LÀM TRÁI TIM ANH ĐAU | OFFICIAL TEASER,2024-05-29 00:00:00+00:00,22,1773027,72234,5781,0.044001022,2024-05,2024,5
ĐỪNG LÀM TRÁI TIM ANH ĐAU ❤️‍🩹 -coming soon- #DLTTAD 💍 #SonTungMTP,2024-05-25 00:00:00+00:00,10,976570,33910,725,0.035465968,2024-05,2024,5
… 👀 #DLTTAD 💍,2024-05-22 00:00:00+00:00,17,532766,14137,251,0.027006228,2024-05,2024,5
SƠN TÙNG M-TP | 7-MINUTE STAGE | CHÚNG TA CỦA TƯƠNG LAI,2024-03-23 00:00:00+00:00,461,4754150,98333,9537,0.02268965,2024-03,2024,3
SƠN TÙNG M-TP | CHÚNG TA CỦA TƯƠNG LAI | BEHIND THE SCENES,2024-03-15 00:00:00+00:00,499,1130530,47561,2443,0.044230582,2024-03,2024,3
ĐÃ BẢO ĐỪNG BẬT NỮA ...!,2024-03-08 00:00:00+00:00,47,1625175,78743,1343,0.049278385,2024-03,2024,3
SƠN TÙNG M-TP | CHÚNG TA CỦA TƯƠNG LAI | OFFICIAL MUSIC VIDEO,2024-03-07 00:00:00+00:00,277,84230772,915444,269993,0.014073681,2024-03,2024,3
ACOUSTIC DEMO | CHÚNG TA CỦA TƯƠNG LAI,2024-03-04 00:00:00+00:00,52,919369,44774,781,0.049550289,2024-03,2024,3
SƠN TÙNG M-TP | CHÚNG TA CỦA TƯƠNG LAI | OFFICIAL TEASER,2024-03-01 00:00:00+00:00,37,1381387,66841,5974,0.052711514,2024-03,2024,3
MB x JCB x SƠN TÙNG M-TP | BE THE SKY,2024-01-18 00:00:00+00:00,65,3578862,104742,6952,0.031209362,2024-01,2024,1
SƠN TÙNG M-TP x BOMATELA | CÓ CHẮC YÊU LÀ ĐÂY (REMIX) | SHOW RECAP,2023-09-29 00:00:00+00:00,227,1689194,39570,1821,0.024503402,2023-09,2023,9
SƠN TÙNG M-TP x BOMATELA | NƠI NÀY CÓ ANH (REMIX) | OFFICIAL VISUALIZER,2023-09-20 00:00:00+00:00,215,1323790,38267,2419,0.030734482,2023-09,2023,9
SƠN TÙNG M-TP x BOMATELA | MUỘN RỒI MÀ SAO CÒN (REMIX) | OFFICIAL VISUALIZER,2023-09-08 00:00:00+00:00,448,1812062,63851,5239,0.038127834,2023-09,2023,9
SON TUNG M-TP | MAKING MY WAY | OFFICIAL VISUALIZER,2023-05-04 00:00:00+00:00,258,51145499,837145,115201,0.018620329,2023-05,2023,5
Don't forget to pre-save ! (link in the description) 👉🏼👉🏼👉🏼✨✨✨,2023-04-29 00:00:00+00:00,55,1236430,47843,609,0.039187014,2023-04,2023,4
Use this sound to show your love for MAKING MY WAY !! ♥️♥️♥️,2023-04-27 00:00:00+00:00,24,2052880,67987,1179,0.033692179,2023-04,2023,4
DELI x SƠN TÙNG M-TP | KIẾN TẠO BẢN SẮC,2023-03-03 00:00:00+00:00,61,522735,26992,934,0.053422862,2023-03,2023,3
SKY DECADE | DREAMS IN THE SKY | ĐIỆN BIÊN  #2,2022-10-27 00:00:00+00:00,12,776558,26601,214,0.034530582,2022-10,2022,10
SKY DECADE | DREAMS IN THE SKY | ĐIỆN BIÊN  #1,2022-10-27 00:00:00+00:00,10,1444045,43289,306,0.030189502,2022-10,2022,10
SKY DECADE | DREAMS IN THE SKY | THÁI BÌNH #2,2022-10-25 00:00:00+00:00,10,4358029,129039,762,0.029784336,2022-10,2022,10
SKY DECADE | DREAMS IN THE SKY | THÁI BÌNH #1,2022-10-25 00:00:00+00:00,14,1166076,43085,284,0.037192258,2022-10,2022,10
SKY DECADE | DREAMS IN THE SKY | TUYÊN QUANG #3,2022-10-24 00:00:00+00:00,11,289031,12825,101,0.044721846,2022-10,2022,10
SKY DECADE | DREAMS IN THE SKY | TUYÊN QUANG #2,2022-10-24 00:00:00+00:00,11,734318,27361,287,0.037651263,2022-10,2022,10
SKY DECADE | DREAMS IN THE SKY | TUYÊN QUANG #1,2022-10-24 00:00:00+00:00,11,352042,15729,133,0.045057124,2022-10,2022,10
SKY DECADE | DREAMS IN THE SKY | THUỴ AN #3,2022-10-23 00:00:00+00:00,11,314252,13876,130,0.044569327,2022-10,2022,10
SKY DECADE | DREAMS IN THE SKY | THUỴ AN #2,2022-10-23 00:00:00+00:00,11,664986,26222,260,0.039823395,2022-10,2022,10
SKY DECADE | DREAMS IN THE SKY | THUỴ AN #1,2022-10-23 00:00:00+00:00,16,378853,22531,276,0.06020013,2022-10,2022,10
SKY DECADE | THE SECOND GIFT | SKY TOUR MOVIE | TRAILER,2022-10-11 00:00:00+00:00,132,1248776,60724,2355,0.050512662,2022-10,2022,10
SƠN TÙNG M-TP | SKY DECADE | Cơn Mưa Xa Dần,2022-10-06 00:00:00+00:00,197,11218952,136430,7033,0.012787558,2022-10,2022,10
SƠN TÙNG M-TP | SKY DECADE | Lời Tri Ân,2022-10-06 00:00:00+00:00,80,786041,67725,4605,0.092018101,2022-10,2022,10
SƠN TÙNG M-TP | SKY DECADE | Nắng Ấm Ngang Qua,2022-10-06 00:00:00+00:00,196,5864128,83279,5152,0.015079991,2022-10,2022,10
SƠN TÙNG M-TP | SKY DECADE | Intro 2022,2022-10-06 00:00:00+00:00,84,2044501,75875,5100,0.039606241,2022-10,2022,10
SKY DECADE,2022-10-04 00:00:00+00:00,60,246027,23263,819,0.097883566,2022-10,2022,10
SƠN TÙNG M-TP | THERE’S NO ONE AT ALL (ANOTHER VERSION) | OFFICIAL MUSIC VIDEO,2022-07-04 00:00:00+00:00,222,24463611,586373,67146,0.026713922,2022-07,2022,7
SƠN TÙNG M-TP | THERE'S NO ONE AT ALL | TEASING AUDIO,2022-04-25 00:00:00+00:00,221,2828809,137441,8479,0.051583546,2022-04,2022,4
SƠN TÙNG M-TP | THERE'S NO ONE AT ALL | OFFICIAL TRAILER,2022-04-23 00:00:00+00:00,44,4877568,189257,25404,0.044009843,2022-04,2022,4
SƠN TÙNG M-TP | #NOAA | FASHION CLIP,2022-04-15 00:00:00+00:00,51,349709,25219,454,0.073412466,2022-04,2022,4
SƠN TÙNG M-TP | #NOAA | UNBOXING VIDEO,2022-04-14 00:00:00+00:00,42,416078,25797,672,0.063615476,2022-04,2022,4
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | KỸ NĂNG DIỄN XUẤT  | OFFICIAL EPISODE 45,2022-04-14 00:00:00+00:00,317,314020,9827,453,0.032736768,2022-04,2022,4
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | LÝ DO BIẾN MẤT | OFFICIAL EPISODE 44,2022-04-07 00:00:00+00:00,287,134540,6014,364,0.047405976,2022-04,2022,4
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | THÂN PHẬN THẬT | OFFICIAL EPISODE 43,2022-03-31 00:00:00+00:00,285,131196,5638,313,0.045359615,2022-03,2022,3
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | NGẦM THỪA NHẬN | OFFICIAL EPISODE 42,2022-03-24 00:00:00+00:00,317,134148,6126,384,0.048528491,2022-03,2022,3
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | TRAO ĐỔI THÔNG TIN | OFFICIAL EPISODE 41,2022-03-17 00:00:00+00:00,331,123698,5994,370,0.051447881,2022-03,2022,3
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | SAO CHUYỆN ĐÓ CÓ THỂ XẢY RA ĐƯỢC! | OFFICIAL EPISODE 40,2022-02-24 00:00:00+00:00,297,135341,6404,408,0.050332124,2022-02,2022,2
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | TAI NẠN BẤT NGỜ | OFFICIAL EPISODE 39,2022-02-17 00:00:00+00:00,282,128296,6242,278,0.050819979,2022-02,2022,2
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | 2 CHÚ GẤU | OFFICIAL EPISODE 38,2022-02-10 00:00:00+00:00,315,112469,6255,242,0.057767029,2022-02,2022,2
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | LÊ HUY | OFFICIAL EPISODE 37,2022-02-03 00:00:00+00:00,292,130239,6859,286,0.054860679,2022-02,2022,2
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | PHOTOSHOOT | OFFICIAL EPISODE 36,2022-01-27 00:00:00+00:00,320,137647,7683,347,0.058337632,2022-01,2022,1
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | CƠN ÁC MỘNG | OFFICIAL EPISODE 35,2022-01-20 00:00:00+00:00,347,133060,7322,289,0.05719976,2022-01,2022,1
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | MA ÂM | OFFICIAL EPISODE 34,2022-01-13 00:00:00+00:00,340,131604,7388,347,0.058774809,2022-01,2022,1
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | MAKE OVER | OFFICIAL EPISODE 33,2022-01-06 00:00:00+00:00,314,129122,7539,355,0.06113598,2022-01,2022,1
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | KÝ HỢP ĐỒNG | OFFICIAL EPISODE 32,2021-12-30 00:00:00+00:00,284,111539,7080,272,0.065914165,2021-12,2021,12
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | TÔI ĐỒNG Ý | OFFICIAL EPISODE 31,2021-12-23 00:00:00+00:00,256,106308,6812,423,0.068056967,2021-12,2021,12
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | TÙNG FAKE TÙNG REAL | OFFICIAL EPISODE 30,2021-12-16 00:00:00+00:00,297,131327,8088,388,0.064541183,2021-12,2021,12
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | LẾT XI TY | OFFICIAL EPISODE 29,2021-12-09 00:00:00+00:00,321,127017,8318,500,0.069423778,2021-12,2021,12
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | PAPARAZZI | OFFICIAL EPISODE 28,2021-12-02 00:00:00+00:00,367,122279,8213,372,0.070208294,2021-12,2021,12
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | TÔI LÀ QUẢN LÝ CỦA CẬU | OFFICIAL EPISODE 27,2021-11-25 00:00:00+00:00,386,122702,8257,441,0.07088719,2021-11,2021,11
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | VI PHẠM HỢP ĐỒNG | OFFICIAL EPISODE 26,2021-11-18 00:00:00+00:00,403,133224,9077,435,0.071398547,2021-11,2021,11
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | CHỊ ĐIÊN HAY HỌ ĐIÊN  | OFFICIAL EPISODE 25,2021-11-11 00:00:00+00:00,392,129222,9441,486,0.076821284,2021-11,2021,11
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | MR.D ĐẾN RỒI | OFFICIAL EPISODE 24,2021-11-04 00:00:00+00:00,330,135922,9312,532,0.07242389,2021-11,2021,11
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | LỚP BỔ TÚC CỦA MY LAN | OFFICIAL EPISODE 23,2021-10-28 00:00:00+00:00,372,139417,9594,477,0.072236528,2021-10,2021,10
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | MỘT ĐÊM KHÓ NGỦ | OFFICIAL EPISODE 22,2021-10-21 00:00:00+00:00,400,146493,10335,556,0.074344849,2021-10,2021,10
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | 3 NGƯỜI BỊ TÂM THẦN | OFFICIAL EPISODE 21,2021-10-14 00:00:00+00:00,344,141747,10100,567,0.075253797,2021-10,2021,10
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | CHỦ NHÂN SỢ CHÓ! | OFFICIAL EPISODE 20,2021-09-23 00:00:00+00:00,336,182992,12367,775,0.071817347,2021-09,2021,9
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | CHUNG CƯ CỦA NGƯỜI NỔI TIẾNG | OFFICIAL EPISODE 19,2021-09-16 00:00:00+00:00,342,163702,11491,527,0.073413886,2021-09,2021,9
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | ĐỪNG HÒNG CHIA CẮT CHÚNG TÔI | OFFICIAL EPISODE 18,2021-09-09 00:00:00+00:00,325,164542,11797,593,0.075299923,2021-09,2021,9
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | VỀ NHÀ | OFFICIAL EPISODE 17,2021-09-02 00:00:00+00:00,304,182652,12485,577,0.071513041,2021-09,2021,9
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | GẶP LẠI NHI LAN | OFFICIAL EPISODE 16,2021-08-26 00:00:00+00:00,370,189057,13279,669,0.073776692,2021-08,2021,8
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | ĐẠI NAM | OFFICIAL EPISODE 15,2021-08-19 00:00:00+00:00,273,195623,13663,668,0.073258257,2021-08,2021,8
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | NÁO LOẠN Ở NGÃ 6 | OFFICIAL EPISODE 14,2021-08-12 00:00:00+00:00,256,201739,13757,684,0.071582589,2021-08,2021,8
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | CẢI TRANG | OFFICIAL EPISODE 13,2021-08-05 00:00:00+00:00,261,184016,12359,653,0.070711243,2021-08,2021,8
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | CẦM ĐỒ | OFFICIAL EPISODE 12,2021-07-29 00:00:00+00:00,336,180618,12766,559,0.073774485,2021-07,2021,7
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | TRẦN TÙNG | OFFICIAL EPISODE 11,2021-07-22 00:00:00+00:00,319,195331,13337,768,0.07221076,2021-07,2021,7
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | THẾ GIỚI MỚI | OFFICIAL EPISODE 10,2021-07-09 00:00:00+00:00,379,290873,18225,1253,0.066963933,2021-07,2021,7
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | ĐĂNG CƠ | OFFICIAL EPISODE 9,2021-07-01 00:00:00+00:00,359,286361,18225,1529,0.068982857,2021-07,2021,7
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | TÂN ĐẾ | OFFICIAL EPISODE 8,2021-06-24 00:00:00+00:00,354,299754,18991,929,0.066454493,2021-06,2021,6
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | 10 NĂM ẨN NHẪN | OFFICIAL EPISODE 7,2021-06-17 00:00:00+00:00,329,302023,19673,1005,0.068464984,2021-06,2021,6
SƠN TÙNG M-TP | MUỘN RỒI MÀ SAO CÒN | LIVE PERFORMANCE | LAZADA SUPERSHOW 6.6,2021-06-10 00:00:00+00:00,284,4146019,141415,9889,0.036493803,2021-06,2021,6
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | ĐẢO CHÍNH | OFFICIAL EPISODE 6,2021-06-10 00:00:00+00:00,320,303434,20857,1058,0.072223284,2021-06,2021,6
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | PHẾ THÁI TỬ | OFFICIAL EPISODE 5,2021-06-03 00:00:00+00:00,426,413199,27958,1358,0.070948865,2021-06,2021,6
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | BÃO TỐ SẮP ĐẾN | OFFICIAL EPISODE 4,2021-05-27 00:00:00+00:00,305,375448,27505,1268,0.076636445,2021-05,2021,5
"SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | TRẦN ANH, TA ĐẾN TRỄ | OFFICIAL EPISODE 3",2021-05-20 00:00:00+00:00,433,560004,39504,1802,0.073760187,2021-05,2021,5
SƠN TÙNG M-TP | MUỘN RỒI MÀ SAO CÒN | ONLINE STAGE,2021-05-17 00:00:00+00:00,354,4716146,183496,10674,0.041171329,2021-05,2021,5
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | CHỜ THỜI CƠ | OFFICIAL EPISODE 2,2021-05-14 00:00:00+00:00,304,644991,50475,2549,0.082208899,2021-05,2021,5
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | QUÀ MỪNG THỌ | OFFICIAL EPISODE 1,2021-05-12 00:00:00+00:00,409,1586571,127658,6189,0.08436244,2021-05,2021,5
SƠN TÙNG M-TP | MUỘN RỒI MÀ SAO CÒN | MAKING MV,2021-05-10 00:00:00+00:00,341,3209159,184796,9782,0.060632085,2021-05,2021,5
SƠN TÙNG M-TP | MUỘN RỒI MÀ SAO CÒN | OFFICIAL MUSIC VIDEO,2021-04-29 00:00:00+00:00,289,228229809,2644692,2031001,0.020486776,2021-04,2021,4
SƠN TÙNG M-TP | MUỘN RỒI MÀ SAO CÒN | CALL TO ACTION,2021-04-15 00:00:00+00:00,80,2261099,127350,5814,0.058893485,2021-04,2021,4
SƠN TÙNG M-TP | MUỘN RỒI MÀ SAO CÒN | TEASING AUDIO,2021-04-13 00:00:00+00:00,46,4479068,243376,48624,0.065192134,2021-04,2021,4
