VideoId,Title,VideoType,LiveStatus,CategoryId,CategoryName,Published_date,DurationSeconds,Views,Likes,Comments
nn_0zPAfyo8,Taylor Swift – august (Official Lyric Video),Regular,none,10,Music,2020-07-24 04:00:15+00:00,264,126578936,1098397,39492
zLSUp53y-HQ,Taylor Swift - cardigan (Official Lyric Video),Regular,none,10,Music,2020-07-24 04:00:11+00:00,241,42101273,451812,6610
HpxX4ZE4KWE,Taylor Swift – peace (Official Lyric Video),Regular,none,10,Music,2020-07-24 04:00:10+00:00,235,10970013,204968,6610
K-a8s8OLBSE,Taylor Swift - cardigan,Regular,none,10,Music,2020-07-24 04:00:09+00:00,275,209617457,3303159,149721
OWbDJFtHl3w,Taylor Swift – my tears ricochet (Official Lyric Video),Regular,none,10,Music,2020-07-24 04:00:06+00:00,257,53661172,510635,13304
9bdLTPNrlEg,Taylor Swift – this is me trying (Official Lyric Video),Regular,none,10,Music,2020-07-24 04:00:04+00:00,196,25759821,346322,9502
KaM1bCuG4xo,Taylor Swift – mirrorball (Official Lyric Video),Regular,none,10,Music,2020-07-24 04:00:04+00:00,210,30689066,341861,8784
MLV2SJKWk4M,Taylor Swift – illicit affairs (Official Lyric Video),Regular,none,10,Music,2020-07-24 04:00:04+00:00,192,30729436,319704,7564
OuFnpmGwg5k,Taylor Swift – invisible string (Official Lyric Video),Regular,none,10,Music,2020-07-24 04:00:04+00:00,254,31503883,344226,9564
6TAPqXkZW_I,Taylor Swift – betty (Official Lyric Video),Regular,none,10,Music,2020-07-24 04:00:03+00:00,296,32255129,427448,17382
KsZ6tROaVOQ,Taylor Swift - the 1 (Official Lyric Video),Regular,none,10,Music,2020-07-24 04:00:03+00:00,212,63168987,703609,19859
6DP4q_1EgQQ,Taylor Swift – mad woman (Official Lyric Video),Regular,none,10,Music,2020-07-24 04:00:02+00:00,239,14726446,261832,8494
DUnDkI7l9LQ,Taylor Swift – epiphany (Official Lyric Video),Regular,none,10,Music,2020-07-24 04:00:02+00:00,291,13143127,237371,9785
2s5xdY6MCeI,Taylor Swift - the last great american dynasty (Official Lyric Video),Regular,none,10,Music,2020-07-24 04:00:01+00:00,232,30156666,366125,11860
Vgt1d3eAm7A,Taylor Swift - Cornelia Street (Live From Paris),Regular,none,10,Music,2020-06-22 10:00:21+00:00,302,14244697,288701,11180
rqsmrSyLTNM,Taylor Swift - Death By A Thousand Cuts (Live From Paris),Regular,none,10,Music,2020-05-18 02:00:11+00:00,201,4355298,88516,2632
JSD4XCBWzvs,Taylor Swift - Daylight (Live From Paris),Regular,none,10,Music,2020-05-18 02:00:03+00:00,264,2771944,69594,2276
d_2WyBcFbFY,Taylor Swift - The Archer (Live From Paris),Regular,none,10,Music,2020-05-18 02:00:03+00:00,212,936383,28444,1038
DIMDgq_MYJs,Taylor Swift - ME! (Live From Paris),Regular,none,10,Music,2020-05-18 02:00:02+00:00,215,756604,32787,1413
Uxg-ivPGusQ,Taylor Swift - You Need To Calm Down (Live From Paris),Regular,none,10,Music,2020-05-18 02:00:02+00:00,205,626566,26824,1051
3xGvCApIEQY,Taylor Swift - Cornelia Street (Live From Paris),Regular,none,10,Music,2020-05-18 02:00:00+00:00,298,8379643,128863,4790
a4iTHPwioEc,Taylor Swift - Lover (Live From Paris),Regular,none,10,Music,2020-05-18 02:00:00+00:00,231,1142284,38588,1423
Tj6qU4dlKeA,Taylor Swift - Fearless (Live From Clear Channel Stripped 2008 / Audio),Regular,none,10,Music,2020-04-24 04:00:21+00:00,204,39029,416,56
kX6h4gDYLzM,Taylor Swift - Picture To Burn (Live From Clear Channel Stripped 2008 / Audio),Regular,none,10,Music,2020-04-24 04:00:17+00:00,179,4394,66,12
o_CgCUINYmQ,Taylor Swift - Untouchable (Live From Clear Channel Stripped 2008 / Audio),Regular,none,10,Music,2020-04-24 04:00:17+00:00,229,12104,149,23
IQL1vIP9sos,Taylor Swift - The Man (Behind The Scenes: The Umpire),Short,none,10,Music,2020-03-20 18:01:06+00:00,52,885579,42701,1156
mxtUnuldKgc,Taylor Swift - The Man (Behind The Scenes: Directing),Regular,none,10,Music,2020-03-10 12:45:00+00:00,250,2191899,111431,3355
a5gXfaAFPOM,Taylor Swift - The Man (Becoming The Man: Behind The Scenes),Regular,none,10,Music,2020-03-06 13:15:00+00:00,195,4298388,206894,6646
AqAJLh9wuZ0,Taylor Swift - The Man (Official Video),Regular,none,10,Music,2020-02-27 12:00:11+00:00,255,111345859,2231173,113804
F3aXpa1rQEY,Taylor Swift - The Man (Live From Paris),Regular,none,10,Music,2020-02-18 05:00:02+00:00,224,8967171,326254,9406
tbEekLA7J3Y,Taylor Swift - The Man (Lyric Video),Regular,none,10,Music,2020-02-07 17:00:20+00:00,200,34204396,688430,19993
GJU-S1t2r1M,Taylor Swift - Only The Young (Featured in Miss Americana / Lyric Video),Regular,none,10,Music,2020-01-31 09:00:06+00:00,159,14317534,401800,16500
40RsbcFRwNA,Miss Americana | Official Trailer,Regular,none,10,Music,2020-01-22 15:45:12+00:00,123,8191655,394038,14461
O2Irnn7F1PM,Taylor Swift - The Making Of Christmas Tree Farm,Regular,none,10,Music,2019-12-23 14:00:49+00:00,283,2770602,132890,5327
hNHBVaFueYw,How To Be A Cat,Regular,none,10,Music,2019-12-16 18:43:56+00:00,154,1741676,166332,4599
mN3rDTAdM2o,Taylor Swift - Christmas Tree Farm,Regular,none,10,Music,2019-12-06 05:00:10+00:00,225,22467510,702599,27531
Ozk8xq0Lp1g,Taylor Swift - Christmas Tree Farm (Lyric Video),Regular,none,10,Music,2019-12-06 05:00:06+00:00,228,4359882,136944,4257
SVY8I46dkb0,Taylor Swift - Live at the 2019 American Music Awards,Regular,none,10,Music,2019-11-27 04:39:20+00:00,700,116919541,2215114,75332
KmT4Y8w1nho,Taylor Swift - Lover (First Dance Remix),Regular,none,10,Music,2019-11-26 05:02:00+00:00,234,4276896,170781,6757
RGJFqm1BnP4,Taylor Swift - Lover Remix Feat. Shawn Mendes (Snow Globe Lyric Video),Regular,none,10,Music,2019-11-22 22:35:17+00:00,230,2684157,113961,2460
trIjpVH8h88,"Taylor Swift - Beautiful Ghosts (From The Motion Picture ""Cats"" / Lyric Video)",Regular,none,10,Music,2019-11-15 05:00:10+00:00,262,8068877,324494,14695
b5Zay_Hd_7Q,Taylor Swift - Lover Remix Feat. Shawn Mendes (Lyric Video),Regular,none,10,Music,2019-11-13 12:27:46+00:00,222,65994697,1041504,27315
kjD3LoXp-Pw,"Taylor Swift - ""False God"" (Live on Saturday Night Live / 2019)",Regular,none,10,Music,2019-10-07 20:54:40+00:00,243,6186576,214244,5326
dmipFjOtMA8,"Taylor Swift - ""Lover"" (Live on Saturday Night Live / 2019)",Regular,none,10,Music,2019-10-07 20:51:29+00:00,242,4852654,175607,4633
hKcEdTPOGGw,Lover Album Photoshoot: Behind The Scenes,Regular,none,10,Music,2019-08-23 16:03:43+00:00,122,2491762,62394,1767
pHoHDNxay3A,Taylor Swift - The Man (Official Audio),Regular,none,10,Music,2019-08-23 04:00:11+00:00,192,24258268,250662,7341
u9raS7-NisU,Taylor Swift - Daylight (Official Audio),Regular,none,10,Music,2019-08-23 04:00:07+00:00,295,94983399,703521,14148
eaP1VswBF28,Taylor Swift - It’s Nice To Have A Friend (Official Audio),Regular,none,10,Music,2019-08-23 04:00:06+00:00,152,8194102,142641,6062
ic8j13piAhQ,Taylor Swift - Cruel Summer (Official Audio),Regular,none,10,Music,2019-08-23 04:00:06+00:00,180,261890094,1603217,42216
p1cEvNn88jM,Taylor Swift - I Forgot That You Existed (Official Audio),Regular,none,10,Music,2019-08-23 04:00:06+00:00,172,30338259,340195,8271
Kwf7P2GNAVw,Taylor Swift - Miss Americana & The Heartbreak Prince (Official Audio),Regular,none,10,Music,2019-08-23 04:00:05+00:00,236,42033764,342313,9560
tMoW5G5LU08,Taylor Swift - Soon You’ll Get Better (Official Audio) ft. The Chicks,Regular,none,10,Music,2019-08-23 04:00:05+00:00,203,10512185,171081,6685
GTEFSuFfgnU,Taylor Swift - Death By A Thousand Cuts (Official Audio),Regular,none,10,Music,2019-08-23 04:00:03+00:00,200,18441325,185527,4367
VikHHWrgb4Y,Taylor Swift - Cornelia Street (Official Audio),Regular,none,10,Music,2019-08-23 04:00:03+00:00,289,57629615,330193,8926
VsKoOH6DVys,Taylor Swift - London Boy (Official Audio),Regular,none,10,Music,2019-08-23 04:00:03+00:00,192,41274339,325112,12736
8zdg-pDF10g,Taylor Swift - Paper Rings (Official Audio),Regular,none,10,Music,2019-08-23 04:00:02+00:00,224,52549543,511581,9806
2d1wKn-oJnA,Taylor Swift - I Think He Knows (Official Audio),Regular,none,10,Music,2019-08-23 04:00:01+00:00,175,20328632,218124,5815
acQXa5ArHIk,Taylor Swift - False God (Official Audio),Regular,none,10,Music,2019-08-23 04:00:01+00:00,202,16664810,174400,4407
8HxbqAsppwU,Taylor Swift - Afterglow (Official Audio),Regular,none,10,Music,2019-08-23 04:00:00+00:00,225,32917162,313375,6845
gRIWxlehJVg,"Taylor’s Diary -  Discusses Getting Her First Cat Meredith Grey, Tour and Middle School",Regular,none,10,Music,2019-08-23 00:06:18+00:00,124,120951,8421,177
iyYhqYELWtA,Taylor Swift Answers Questions From Fans From Lover’s Lounge Live,Regular,none,10,Music,2019-08-23 00:05:52+00:00,365,314487,21794,631
UY3UfH-ittk,Taylor’s Diary - My 13 Year Old Self (Exclusive Reading from Deluxe Edition Lover Album),Regular,none,10,Music,2019-08-23 00:05:21+00:00,117,267199,19871,488
1qwxqyac0Z8,Taylor Swift - The Archer First Ever Live Performance,Regular,none,10,Music,2019-08-23 00:04:42+00:00,241,415560,35493,1237
dDO6HnY7h24,Taylor Swift - Lover's Lounge (Live),Regular,none,10,Music,2019-08-22 21:47:44+00:00,2023,16320364,0,4544
-BjZmE2gtdo,Taylor Swift - Lover (Official Music Video),Regular,none,10,Music,2019-08-22 21:30:09+00:00,239,333334126,3912490,107886
cvUAzpn48xA,Taylor Swift - Lover (Official Lyric Video),Regular,none,10,Music,2019-08-16 04:00:05+00:00,230,53716215,911334,42313
PWdT2ONbJbc,Taylor Swift - Livestream Announcement (8/22/19 @ 5pm EST),Short,none,10,Music,2019-08-15 18:06:59+00:00,40,13834948,78976,4737
8KpKc3C9V3w,Taylor Swift - The Archer (Lyric Video),Regular,none,10,Music,2019-07-23 21:15:00+00:00,220,43749449,742642,39030
SYd0pYqOJqA,You Need To Calm Down Behind The Scenes: Friends & Neighbors,Regular,none,10,Music,2019-07-18 15:50:29+00:00,182,2304441,102957,2369
s4MN_hGvTCA,You Need To Calm Down Behind The Scenes: Morning Routine,Regular,none,10,Music,2019-07-09 13:42:45+00:00,181,3513879,146342,4356
6MLzSp0OJL0,You Need To Calm Down Behind The Scenes: Pop Queen Pageant,Regular,none,10,Music,2019-06-20 15:00:01+00:00,175,3225066,166290,4483
Dkk9gvTmCXY,Taylor Swift - You Need To Calm Down,Regular,none,10,Music,2019-06-17 12:13:12+00:00,211,371792078,4797810,251625
GWtfOHBF1_w,Taylor Swift - You Need To Calm Down (Lyric Video),Regular,none,10,Music,2019-06-14 04:00:04+00:00,178,35371531,828466,50851
MA0HQG9J9Yk,Taylor Swift - ME! (Live on The Graham Norton Show),Regular,none,10,Music,2019-05-24 22:40:37+00:00,203,5925603,166951,6806
_zUCMfYkgj0,Taylor Swift - ME! (Live on The Voice / 2019) ft. Brendon Urie,Regular,none,10,Music,2019-05-22 03:00:05+00:00,204,13284958,417524,12002
bqOfdv9i4sE,ME! (feat. Brendon Urie of Panic! At The Disco) (Live From The Billboard Music Awards / 2019),Regular,none,10,Music,2019-05-02 05:32:27+00:00,257,77910151,1624778,54893
S--WI8PUVVo,Taylor Swift - ME! (feat. Brendon Urie of Panic! At The Disco) (Lyric Video) ft. Brendon Urie,Regular,none,10,Music,2019-05-01 20:25:01+00:00,195,10804500,254751,7477
lj2mZ8zDToY,ME! Behind The Scenes: Je Suis Calme,Regular,none,10,Music,2019-05-01 19:25:22+00:00,197,5269626,210807,6092
MUf1ili4Zew,ME! Behind The Scenes: The Story of Benjamin Button,Regular,none,10,Music,2019-04-30 10:11:11+00:00,189,7168920,314441,10965
FuXNumBwDOM,Taylor Swift - ME! (feat. Brendon Urie of Panic! At The Disco) ft. Brendon Urie,Regular,none,10,Music,2019-04-26 03:58:13+00:00,249,448062229,6407332,438580
HIb_TlK2HAI,Taylor Swift reputation Stadium Tour | Official Trailer | Netflix,Regular,none,10,Music,2018-12-13 13:08:05+00:00,83,5778418,216279,14982
RamgJyJsep4,Taylor Swift and Robbie Williams - Angels - reputation Stadium Tour,Regular,none,10,Music,2018-06-24 23:44:04+00:00,96,6547547,96973,4111
MBR2kxt7RK8,Taylor Swift - Delicate (Vertical Version),Regular,none,10,Music,2018-05-15 21:02:41+00:00,235,7761042,246727,10087
aoYhTov8jsY,Taylor Swift reputation Stadium Tour - Official Merch,Short,none,10,Music,2018-05-01 23:26:41+00:00,31,517522,41724,2316
RMW3fAructY,Taylor Swift reputation Stadium Tour // Trailer 2,Short,none,10,Music,2018-04-05 21:06:54+00:00,31,434130,29371,2097
zGSneb3McDo,Delicate Music Video Dance Rehearsal Part 2,Short,none,10,Music,2018-03-13 21:35:45+00:00,58,2441071,92845,1812
sEr7bAtZ8rY,Delicate Music Video Dance Rehearsal Part 1,Regular,none,10,Music,2018-03-13 21:28:05+00:00,61,9047978,184806,4023
tCXGJQYZ9JA,Taylor Swift - Delicate,Regular,none,10,Music,2018-03-12 01:15:10+00:00,235,585106648,4666262,211597
VA7Y_Psp5l4,End Game - Behind The Scenes,Regular,none,10,Music,2018-02-09 16:01:53+00:00,302,2431256,105326,3753
dfnCAmr569k,"Taylor Swift - End Game ft. Ed Sheeran, Future",Regular,none,10,Music,2018-01-12 05:00:01+00:00,252,310662381,3456668,178749
MvIwx0JThsk,"Taylor Swift, BloodPop® - ...Ready For It?",Regular,none,10,Music,2017-12-14 16:00:02+00:00,193,9981646,304713,11377
66kn6Dcr12E,Taylor Swift's reputation Stadium Tour - Trailer,Short,none,10,Music,2017-12-13 15:00:00+00:00,31,565077,33469,2154
GZeza5xTeuM,Taylor Swift - …Ready for It? (BloodPop® Remix) (Audio),Regular,none,10,Music,2017-12-06 20:03:12+00:00,190,3871065,46759,2168
oWVYzCPs3nE,TaylorSwiftVEVO Live Stream,Upcoming Live,upcoming,10,Music,2017-12-01 21:00:48+00:00,0,0,62,1
eQVhAN7-IAw,The Making of a Song: “Delicate” – watch more on Taylor Swift NOW,Regular,none,10,Music,2017-11-15 03:43:47+00:00,233,5090143,200103,5176
kGOmPmILndU,The reputation Secret Sessions,Regular,none,10,Music,2017-11-07 13:30:04+00:00,166,3440211,155270,6470
V54CEElTF_U,Taylor Swift - Call It What You Want (Lyric Video),Regular,none,10,Music,2017-11-03 04:00:01+00:00,207,123940753,1249628,53471
wIft-t-MQuE,Taylor Swift - …Ready For It?,Regular,none,10,Music,2017-10-27 04:00:03+00:00,211,377820858,3980289,209543
GU5_g8Tmiv8,...Ready For It? Trailer,Short,none,10,Music,2017-10-23 14:17:17+00:00,16,3779090,97454,7691
EUoe7cf0HYw,Taylor Swift - Gorgeous (Lyric Video),Regular,none,10,Music,2017-10-20 04:01:22+00:00,212,180921406,1594916,75133
np4Nw0tBun8,Look What You Made Me Do - Looks,Regular,none,10,Music,2017-10-17 21:32:17+00:00,166,2110798,90820,1831
71QPEkD9PhM,Look What You Made Me Do - Stream Co.,Regular,none,10,Music,2017-09-27 14:51:30+00:00,97,886535,23931,509
e7HLU5-0VU4,Taylor Swift Live Stream,Upcoming Live,upcoming,10,Music,2017-09-26 22:54:35+00:00,0,0,95,0
jJeK0p1LanY,Look What You Made Me Do - The Birdcage,Regular,none,10,Music,2017-09-21 14:56:22+00:00,328,818892,25147,952
BKCmxyohzww,Look What You Made Me Do - Zombie Transformation,Regular,none,10,Music,2017-09-21 13:16:00+00:00,331,7429399,139340,3958
XF_ARz7jTUw,Look What You Made Me Do: Taylor Mountain,Regular,none,10,Music,2017-09-20 20:03:01+00:00,424,8250547,208587,4799
T62maKYX9tU,Taylor Swift - ...Ready For It? (Audio),Regular,none,10,Music,2017-09-03 12:07:45+00:00,209,67793337,611881,43991
3tmd-ClpJxA,Taylor Swift - Look What You Made Me Do,Regular,none,10,Music,2017-08-28 00:30:22+00:00,256,1547540866,13676397,761075
iM_j8_AZJW4,"Official ""Look What You Made Me Do"" Video Teaser Clip",Short,none,10,Music,2017-08-25 12:34:35+00:00,21,4933219,114979,5855
3K0RzZGpyds,Taylor Swift - Look What You Made Me Do (Lyric Video),Regular,none,10,Music,2017-08-25 03:44:23+00:00,215,153771542,2204771,197446
J37Pitvp7RI,"Rehearsing ""I Don't Wanna Live Forever (Fifty Shades Darker)"" for DIRECTV NOW Super Saturday Night",Regular,none,10,Music,2017-02-02 15:13:11+00:00,82,1174479,34349,2016
fJBFvNiJ4Kw,"First time hearing ""I Don't Wanna Live Forever (Fifty Shades Darker)"" on the radio",Short,none,10,Music,2017-02-01 20:03:05+00:00,49,2940961,160671,4669
dwdtzwua2pY,"Taylor Swift, ZAYN - I Don’t Wanna Live Forever (Fifty Shades Darker) BTS 4 – Glitter Lip [EXTENDED]",Regular,none,10,Music,2017-02-01 18:30:00+00:00,90,3149526,71402,2399
QIUWI7dfnC0,I Don't Wanna Live Forever (Fifty Shades Darker) BTS 1 - Zayn & Taylor [EXTENDED],Regular,none,10,Music,2017-01-27 21:50:35+00:00,80,6372025,188884,4761
OsJ5RyWpY5w,I Don't Wanna Live Forever (Fifty Shades Darker) BTS 2 - Key Light? [EXTENDED],Regular,none,10,Music,2017-01-27 21:43:14+00:00,96,967102,31607,622
7F37r50VUTQ,"ZAYN, Taylor Swift - I Don’t Wanna Live Forever (Fifty Shades Darker)",Regular,none,10,Music,2017-01-27 05:00:30+00:00,257,762663923,5351826,136294
wyK7YuwUWsU,Taylor Swift - New Romantics,Regular,none,10,Music,2016-04-13 14:31:00+00:00,262,131893721,1172986,61470
TXJlB9riS1Y,Taylor Swift - Out Of The Woods – The Making Of,Regular,none,10,Music,2016-02-09 16:55:00+00:00,296,8556414,216818,7726
p1Zt47V3pPw,"Taylor performs ""Blank Space"" at The GRAMMY Museum",Regular,none,10,Music,2016-01-07 21:03:14+00:00,357,23945403,475712,13662
OGDkg3QiJmk,"Taylor Performs ""Wildest Dreams"" at The GRAMMY Museum",Regular,none,10,Music,2016-01-05 02:34:16+00:00,246,24188727,426386,13883
JLf9q36UsBk,Taylor Swift - Out Of The Woods,Regular,none,10,Music,2016-01-01 03:51:00+00:00,257,207284142,2019232,129157
IdneKLhsWOQ,Taylor Swift - Wildest Dreams,Regular,none,10,Music,2015-08-31 00:55:00+00:00,235,984360202,5659614,239044
QcIy9NiNbmo,Taylor Swift - Bad Blood ft. Kendrick Lamar,Regular,none,10,Music,2015-05-18 04:00:00+00:00,245,1667989735,10318317,474856
bKBJhghRfEk,#STYLEmemories One,Short,none,10,Music,2015-02-19 03:15:26+00:00,15,256907,10037,317
cM2CXMcG5w8,#STYLEmemories Two,Short,none,10,Music,2015-02-19 03:15:08+00:00,15,248233,10018,265
-CmadmM5cOk,Taylor Swift - Style,Regular,none,10,Music,2015-02-13 13:20:01+00:00,243,920951467,4385289,167961
j3yyF31jbKo,Taylor Swift's Gift Giving of 2014 | SWIFTMAS,Regular,none,10,Music,2014-12-31 18:14:42+00:00,372,20130776,187898,16692
BxZi6jC2JAI,"Behind The Fragrance, Taylor Swift Incredible Things featuring Taylor Swift (Behind The Scenes)",Regular,none,10,Music,2014-12-15 17:13:20+00:00,84,514895,19327,601
e-ORhEE9VVg,Taylor Swift - Blank Space,Regular,none,10,Music,2014-11-10 17:05:44+00:00,273,3698079595,16327044,683487
JggOSZFlk0U,Taylor Swift's The 1989 World Tour,Short,none,10,Music,2014-11-03 13:39:39+00:00,15,727149,10943,1051
81doBkpkdJQ,"Preview ""Welcome To New York"" by Taylor Swift",Short,none,10,Music,2014-10-20 11:51:39+00:00,31,2138137,19034,1464
xVKTOX3vMKM,"Taylor Swift talks about ""Welcome to New York""",Short,none,10,Music,2014-10-20 11:51:21+00:00,58,640005,11762,334
EKnl7STzSMU,"1989 Secret Sessions, Behind The Scenes!",Regular,none,10,Music,2014-10-16 23:09:25+00:00,274,3802003,92462,5144
DqZOcABIgTk,Taylor Swift - Shake It Off Outtakes Video #8 - The Director,Regular,none,10,Music,2014-10-15 04:01:00+00:00,221,10952383,91828,1987
M-M5SW8QvmY,"Taylor Swift Talks About ""Out Of The Woods""",Regular,none,10,Music,2014-10-13 12:20:13+00:00,72,1410569,24059,1057
s8h0tZy0HqA,"Taylor Swift - Shake It Off Outtakes Video #7 - The Band, The Fans and The Extras",Regular,none,10,Music,2014-10-08 04:00:02+00:00,253,6636416,57081,1380
AoYtgGHfsG4,Taylor Swift Ice Bucket Challenge with Jamie King,Short,none,29,Nonprofits & Activism,2014-10-06 20:08:47+00:00,55,659924,41156,1351
bs5SZOHowHI,Taylor Swift - Shake It Off Outtakes Video #6 - The Ribbon Dancers (Behind The Scenes Video),Regular,none,10,Music,2014-10-01 04:01:01+00:00,220,4930915,46242,1465
70Ps-GzbSfw,Shake It Off Outtakes Video #5 - The Twerkers and Finger Tutting (Behind-The-Scenes Video),Regular,none,10,Music,2014-09-24 04:01:00+00:00,240,8049192,60866,1845
vMWpIfxvnWo,Taylor Swift - Shake It Off Outtakes Video #4 - The Animators (Behind The Scenes Video),Regular,none,10,Music,2014-09-17 04:01:00+00:00,238,6289926,56322,1498
TEpTNFHHjNg,Taylor Swift - Shake It Off Outtakes Video #1 - The Cheerleaders (Behind The Scenes Video),Regular,none,10,Music,2014-09-12 04:01:00+00:00,232,18553288,168416,3962
kY-_D-IptZE,Taylor Swift - Shake It Off Outtakes Video #2 - The Ballerinas (Behind The Scenes Video),Regular,none,10,Music,2014-09-12 04:01:00+00:00,224,10470137,90932,2039
zdYy6-P_ggQ,Taylor Swift - Shake It Off Outtakes Video #3 - The Modern Dancers (Behind The Scenes Video),Regular,none,10,Music,2014-09-12 04:01:00+00:00,241,5285513,56976,1092
1D5E5KLkfsI,Taylor Swift's Worldwide Live Stream on Yahoo - Highlights,Regular,none,10,Music,2014-08-19 06:54:29+00:00,211,426821,8466,316
nfWlot6h_JM,Taylor Swift - Shake It Off,Regular,none,10,Music,2014-08-18 21:18:00+00:00,242,3608415204,13985436,598790
J1LMp-jEH_k,Surprising Gena,Regular,none,10,Music,2014-04-16 22:44:24+00:00,271,3577909,59452,3730
UfRqjF_8IqQ,Taylor Swift RED Tour Asia announcement,Short,none,10,Music,2014-02-13 05:46:11+00:00,42,275358,7487,1251
kpzwfS5x068,Taylor Swift Fragrances Made Of Starlight Musical Edition,Short,none,10,Music,2013-12-05 21:24:59+00:00,31,503713,12994,369
QuijXg8wm28,Taylor Swift - The Last Time ft. Gary Lightbody,Regular,none,10,Music,2013-11-16 01:06:06+00:00,228,51248091,377926,10972
DJXfSaOJXOQ,Taylor Swift RED Tour Nashville Week,Regular,none,10,Music,2013-10-08 22:41:00+00:00,528,965049,16589,1085
SvEbXNgvXWY,Taylor Swift RED Tour London announcement,Short,none,10,Music,2013-09-30 06:05:16+00:00,50,210339,4709,1209
FTA4kzsTmxc,Taylor Swift and Jennifer Lopez: Jenny from the Block,Regular,none,10,Music,2013-09-12 21:34:41+00:00,356,13302418,117910,3632
6wEVDvnqQOM,Behind the scenes of Taylor Swift's week at Staples Center,Regular,none,10,Music,2013-09-06 16:35:47+00:00,426,824100,14689,1022
