title,published_date,duration_seconds,views,likes,comments,upload_month,published_year,published_month
"Free Fire x Sơn Tùng M-TP | 'Skyler' Theme Song |  Official","2021-01-28 00:00:00",142,25527146,771372,127601,2021-01,2021,1
"FREE FIRE x SƠN TÙNG M-TP | 'SKYLER' THEME SONG |  TEASER","2021-01-26 00:00:00",15,1933319,104630,9628,2021-01,2021,1
"DỪNG LẠI HAY BỨT PHÁ | SƠN TÙNG M-TP x TIGER BEER","2021-01-19 00:00:00",45,1108227,81321,3874,2021-01,2021,1
"SƠN TÙNG M-TP | CHÚNG TA CỦA HIỆN TẠI | KARAOKE VERSION","2021-01-15 00:00:00",313,4011280,143701,6476,2021-01,2021,1
"SƠN TÙNG M-TP | LẠC TRÔI COMIC | OFFICIAL TRAILER","2021-01-03 00:00:00",140,1382179,109904,3946,2021-01,2021,1
"SƠN TÙNG M-TP | TIGER REMIX COUNTDOWN STAGE | 2021","2020-12-31 00:00:00",769,14898708,364367,23317,2020-12,2020,12
"SƠN TÙNG M-TP | CHÚNG TA CỦA HIỆN TẠI | MAKING MV","2020-12-30 00:00:00",1221,2904850,162390,8419,2020-12,2020,12
"SƠN TÙNG M-TP | CHÚNG TA CỦA HIỆN TẠI | OFFICIAL MUSIC VIDEO","2020-12-20 00:00:00",891,114316715,2284807,1128519,2020-12,2020,12
"SƠN TÙNG M-TP | CHÚNG TA CỦA HIỆN TẠI | OFFICIAL TRAILER","2020-12-17 00:00:00",30,5377024,368013,33399,2020-12,2020,12
"Son Tung M-TP | Stage Performance at TPBank Concert","2020-11-13 00:00:00",1266,6528380,147238,11184,2020-11,2020,11
"SKY TOUR MOVIE | OFFICIAL TRAILER (NETFLIX VERSION)","2020-08-29 00:00:00",45,791867,55248,2260,2020-08,2020,8
"SKY TOUR MOVIE | GOING GLOBAL | STAY TUNED","2020-08-24 00:00:00",18,523101,47743,2558,2020-08,2020,8
"M-TP TALENT | CASTING CALL | EXCLUSIVE ACTRESS","2020-08-16 00:00:00",53,1253692,84380,3623,2020-08,2020,8
"Sơn Tùng M-TP x TPBank | MỘT TRẢI NGHIỆM 4.0 CHƯA TỪNG CÓ","2020-08-08 00:00:00",222,4929789,58379,3523,2020-08,2020,8
"SƠN TÙNG M-TP | OPPO RENO4 LIVE PERFORMANCE","2020-08-02 00:00:00",645,3422478,159494,10167,2020-08,2020,8
"SƠN TÙNG M-TP | CÓ CHẮC YÊU LÀ ĐÂY | ONLINE STAGE","2020-07-20 00:00:00",1281,3182528,231654,15901,2020-07,2020,7
"SƠN TÙNG M-TP | CÓ CHẮC YÊU LÀ ĐÂY | MV MAKING","2020-07-13 00:00:00",450,5976321,335271,14928,2020-07,2020,7
"SƠN TÙNG M-TP | CÓ CHẮC YÊU LÀ ĐÂY | OFFICIAL MUSIC VIDEO","2020-07-05 00:00:00",216,185846744,3357026,994887,2020-07,2020,7
"SƠN TÙNG M-TP | CÓ CHẮC YÊU LÀ ĐÂY | OFFICIAL TRAILER","2020-06-29 00:00:00",42,11462729,693139,72808,2020-06,2020,6
"SKY TOUR MOVIE | SƠN TÙNG M-TP | PREVIEW CLIP","2020-06-05 00:00:00",61,1662186,113152,4561,2020-06,2020,6
"SKY TOUR MOVIE | SƠN TÙNG M-TP | OFFICIAL TRAILER","2020-05-31 00:00:00",78,2832370,219082,17252,2020-05,2020,5
"LIVESTREAM | HỌP BÁO CÔNG TY M-TP ENTERTAINMENT | 18.12.2019","2019-12-18 00:00:00",5993,886558,41454,1730,2019-12,2019,12
"SƠN TÙNG M-TP | HÃY TRAO CHO ANH | MV MAKING","2019-07-12 00:00:00",241,12885952,412873,13027,2019-07,2019,7
"SƠN TÙNG M-TP | HÃY TRAO CHO ANH ft. Snoop Dogg | Official MV","2019-07-01 00:00:00",263,300840521,4187294,1259472,2019-07,2019,7
"SKY TOUR 2019 | TRAILER","2019-06-17 00:00:00",89,1785775,93791,4786,2019-06,2019,6
"SƠN TÙNG M-TP | LEVI'S 501 DAY STAGE | HÀ NỘI 2019","2019-05-31 00:00:00",726,5866154,139875,7387,2019-05,2019,5
"TÔI ĐÃ "LÌ" NHƯ THẾ ĐÓ! - SƠN TÙNG M-TP x PEPSI","2019-05-18 00:00:00",137,29390080,181937,10068,2019-05,2019,5
"NẮNG ẤM XA DẦN (ONIONN REMIX) | SƠN TÙNG M-TP | Official Music","2019-04-04 00:00:00",203,22616500,382031,20424,2019-04,2019,4
"CHẠY NGAY ĐI | SƠN TÙNG M-TP | TIGER REMIX STAGE VERSION | HỒ CHÍ MINH 31.12.2018","2019-01-02 00:00:00",410,4875299,113579,7015,2019-01,2019,1
"CHẠY NGAY ĐI | SƠN TÙNG M-TP | FWD STAGE VERSION | HỒ CHÍ MINH 27.10.2018","2018-11-01 00:00:00",278,1896388,72731,5481,2018-11,2018,11
"CHUYẾN ĐI CỦA THANH XUÂN | SƠN TÙNG M-TP x BITI’S HUNTER x NGUYỄN QUANG DŨNG | Official Short Film","2018-07-27 00:00:00",849,18095694,304339,31481,2018-07,2018,7
"Điều Ý Nghĩa Nhất Cho Hôm Nay Là Gì? | Nhật Ký 05/07/2018 - Sơn Tùng M-TP","2018-07-08 00:00:00",1880,7698744,251566,17659,2018-07,2018,7
"CHẠY NGAY ĐI (ONIONN REMIX)| RUN NOW (ONIONN REMIX) | SƠN TÙNG M-TP | Official Music Video","2018-07-04 00:00:00",317,42155461,556646,49271,2018-07,2018,7
"CHẠY NGAY ĐI | SƠN TÙNG M-TP | LEVI'S STAGE VERSION | HỒ CHÍ MINH 20.05.2018","2018-05-29 00:00:00",292,6308230,141522,13882,2018-05,2018,5
"Trực Tiếp: Countdown Ra Mắt Music Video Chạy Ngay Đi - Sơn Tùng M-TP","2018-05-11 00:00:00",1930,1907136,50525,1023,2018-05,2018,5
"CHẠY NGAY ĐI | RUN NOW | SƠN TÙNG M-TP | Official Music Video","2018-05-11 00:00:00",274,163107887,1818014,994940,2018-05,2018,5
"CHẠY NGAY ĐI | SƠN TÙNG M-TP - Official Trailer","2018-05-07 00:00:00",45,4531866,122832,11135,2018-05,2018,5
"CHẠY NGAY ĐI | SƠN TÙNG M-TP - Teaser Trailer","2018-05-02 00:00:00",24,5135755,137342,13779,2018-05,2018,5
"SonTungMTPVEVO Live Stream","2017-11-26 00:00:00",NULL,NULL,2,NULL,2017-11,2017,11
"CHẠM TỚI GIẤC MƠ PHẦN 4 | SƠN TÙNG M-TP | COMING SOON","2017-09-29 00:00:00",263,473169,15130,702,2017-09,2017,9
"CHẠM TỚI GIẤC MƠ PHẦN 3 | SƠN TÙNG M-TP | COMING SOON","2017-09-28 00:00:00",235,764810,18275,834,2017-09,2017,9
"CHẠM TỚI GIẤC MƠ PHẦN 2 | SƠN TÙNG M-TP | COMING SOON","2017-09-26 00:00:00",228,630654,22318,807,2017-09,2017,9
"CHẠM TỚI GIẤC MƠ PHẦN 1 | SƠN TÙNG M-TP | COMING SOON","2017-09-24 00:00:00",206,1307590,49655,3080,2017-09,2017,9
"LẠC TRÔI (TRIPLE D REMIX) | 360 DEGREE MV |  SƠN TÙNG M-TP","2017-09-08 00:00:00",260,12829719,178733,9905,2017-09,2017,9
"M-TP OFFICIAL ALBUM & FANSIGN IN HANOI | SƠN TÙNG M-TP","2017-04-09 00:00:00",198,481073,19210,1416,2017-04,2017,4
"M-TP OFFICIAL ALBUM & FANSIGN IN HCM | SƠN TÙNG M-TP","2017-04-02 00:00:00",231,579231,20667,1838,2017-04,2017,4
"UNBOXING ALBUM m-tp M-TP | SƠN TÙNG M-TP","2017-03-28 00:00:00",208,470995,17848,1272,2017-03,2017,3
"ALBUM M-TP | SƠN TÙNG M-TP | TRAILER","2017-03-18 00:00:00",71,2585552,75508,5669,2017-03,2017,3
"NƠI NÀY CÓ ANH | OFFICIAL MUSIC VIDEO | SƠN TÙNG M-TP","2017-02-13 00:00:00",279,418466693,2268204,317881,2017-02,2017,2
"SƠN TÙNG M-TP PRIVATE YEAR END MEETING 2017","2017-02-12 00:00:00",4655,2719001,58455,3996,2017-02,2017,2
"NƠI NÀY CÓ ANH | TEASER MUSIC VIDEO | SƠN TÙNG M-TP","2017-02-06 00:00:00",33,3547620,57973,3524,2017-02,2017,2
"Giữ Tết Truyền Thống, Sống Tết Hiện Đại","2017-01-27 00:00:00",21,273455,14907,759,2017-01,2017,1
"UNBOXING 2017 NEW YEAR GIFT | SƠN TÙNG M-TP","2017-01-13 00:00:00",151,308217,14218,1908,2017-01,2017,1
"Lạc Trôi | Making MV | Sơn Tùng M-TP","2017-01-07 00:00:00",590,5212720,128240,9780,2017-01,2017,1
"LẠC TRÔI | PIANO VERSION | SƠN TÙNG M-TP","2017-01-04 00:00:00",169,2531227,49700,2893,2017-01,2017,1
"LẠC TRÔI | OFFICIAL MUSIC VIDEO | SƠN TÙNG M-TP","2016-12-31 00:00:00",273,281153633,1877828,298562,2016-12,2016,12
"Trực Tiếp: Họp Báo Ra Mắt Dự Án Âm Nhạc Lạc Trôi Và Mini Concert Sơn Tùng M-TP","2016-12-31 00:00:00",3906,1501998,18931,1417,2016-12,2016,12
"LẠC TRÔI | TEASER MUSIC VIDEO | SƠN TÙNG M-TP","2016-12-16 00:00:00",39,2416714,32229,3348,2016-12,2016,12
"SƠN TÙNG M-TP | LIVESHOW M-TP AMBITION | PART 4","2016-11-22 00:00:00",1435,848195,16234,1274,2016-11,2016,11
"SƠN TÙNG M-TP | LIVESHOW M-TP AMBITION | PART 3","2016-11-20 00:00:00",1459,696841,16313,1208,2016-11,2016,11
"SƠN TÙNG M-TP | LIVESHOW M-TP AMBITION | PART 2","2016-11-18 00:00:00",1864,843594,16296,1317,2016-11,2016,11
"SƠN TÙNG M-TP | LIVESHOW M-TP AMBITION | PART 1","2016-11-16 00:00:00",1463,1371274,26621,2514,2016-11,2016,11
"SƠN TÙNG M-TP | LIVESHOW M-TP AMBITION | TRAILER","2016-11-12 00:00:00",214,316743,10488,998,2016-11,2016,11
"Chúng Ta Không Thuộc Về Nhau | Official Music Video | Sơn Tùng M-TP","2016-08-02 00:00:00",243,237742671,1276009,211044,2016-08,2016,8
"CHÚNG TA KHÔNG THUỘC VỀ NHAU | DEBUT ONSTAGE | LIVE STREAMING","2016-08-02 00:00:00",3284,1958514,23940,1431,2016-08,2016,8
"Chúng Ta Không Thuộc Về Nhau | TEASER MUSIC VIDEO | Sơn Tùng M-TP","2016-07-26 00:00:00",36,2345045,23645,2652,2016-07,2016,7
"Nắng Ấm Xa Dần - Sơn Tùng M-TP","2016-07-25 00:00:00",192,41133644,150041,6880,2016-07,2016,7
"Thái Bình Mồ Hôi Rơi - Sơn Tùng M-TP","2016-07-25 00:00:00",319,13275866,120849,7710,2016-07,2016,7
"Chắc Ai Đó Sẽ Về | Sơn Tùng M-TP | Stage Version | Đà Lạt","2016-02-23 00:00:00",286,180468,3158,122,2016-02,2016,2
"Nắng Ấm Xa Dần | Sơn Tùng M-TP | Stage Version | Đà Lạt","2016-02-22 00:00:00",206,181425,3584,147,2016-02,2016,2
"Buông Đôi Tay Nhau Ra | Sơn Tùng M-TP | Stage Version | Đà Lạt","2016-02-22 00:00:00",280,205675,2930,93,2016-02,2016,2
"Fancam | Sơn Tùng M-TP Tại Sân Bay Đà Lạt 2016","2016-02-22 00:00:00",85,185938,3685,143,2016-02,2016,2
"Khuôn Mặt Đáng Thương | Stage Version | Sơn Tùng M-TP","2016-02-02 00:00:00",245,328421,4900,162,2016-02,2016,2
"Buông Đôi Tay Nhau Ra | Stage Version | Sơn Tùng M-TP","2016-02-02 00:00:00",314,253395,3327,142,2016-02,2016,2
"Em Của Ngày Hôm Qua | Stage Version | Sơn Tùng M-TP","2016-02-02 00:00:00",391,168230,3258,214,2016-02,2016,2
"VIRAL CLIP - MỘT NĂM MỚI BÌNH AN | SƠN TÙNG M-TP","2016-01-23 00:00:00",253,105254783,512280,38438,2016-01,2016,1
"SƠN TÙNG M-TP | MỘT NĂM MỚI BÌNH AN [Teaser]","2016-01-16 00:00:00",31,229525,5402,264,2016-01,2016,1
"Buông Đôi Tay Nhau Ra | Stage Version | Sơn Tùng M-TP","2016-01-07 00:00:00",209,966232,8662,444,2016-01,2016,1
"Em Của Ngày Hôm Qua | Stage Version | Sơn Tùng M-TP","2016-01-07 00:00:00",222,312747,4000,152,2016-01,2016,1
"Sơn Tùng M-TP | Buổi Fan Meeting Tại Hà Nội","2016-01-07 00:00:00",372,193369,2975,108,2016-01,2016,1
"Sơn Tùng M-TP | Không Còn Mùa Thu","2016-01-05 00:00:00",101,347024,5428,201,2016-01,2016,1
"Sky Hát Tặng Sơn Tùng M-TP Fan Meeting In Hanoi","2016-01-05 00:00:00",110,102530,2935,142,2016-01,2016,1
"Sơn Tùng M-TP Về Thăm Thái Bình","2016-01-03 00:00:00",239,840887,6617,330,2016-01,2016,1
"Sơn Tùng M-TP | Buổi Họp Mặt Offline Tại Jollibee","2016-01-03 00:00:00",216,275773,4561,147,2016-01,2016,1
"Sky Hát Tặng Sơn Tùng M-TP Tại Buổi Fan Meeting Thái Bình","2015-12-31 00:00:00",23,112468,2582,65,2015-12,2015,12
"Sơn Tùng M-TP | Making The Show","2015-12-29 00:00:00",164,110529,3738,123,2015-12,2015,12
"Sơn Tùng M-TP | Merry Christmas","2015-12-25 00:00:00",186,247516,6562,291,2015-12,2015,12
"Đêm Trao Giải Làn Sóng Xanh lần thứ 18 - 2015 | Sơn Tùng M-TP","2015-12-21 00:00:00",122,309016,5443,229,2015-12,2015,12
"Buổi Tập Luyện Làn Sóng Xanh 2015 | Sơn Tùng M-TP","2015-12-19 00:00:00",105,176808,4582,140,2015-12,2015,12
"M-TP |  Tuyển tập các ca khúc Sơn Tùng | His Music Journey","2015-12-16 00:00:00",8998,16467571,117196,4842,2015-12,2015,12
"Buông Đôi Tay Nhau Ra | OFFICIAL MUSIC VIDEO | Sơn Tùng M-TP","2015-12-02 00:00:00",290,160831902,748964,74953,2015-12,2015,12
"SƠN TÙNG M-TP CHUẨN BỊ CHO RA BÀI HIT MỚI","2015-11-19 00:00:00",38,346242,4803,148,2015-11,2015,11
"2015.10.08 SƠN TÙNG | HỌP BÁO Liveshow MTV Vietnam EMA Connection","2015-10-09 00:00:00",79,103167,3024,158,2015-10,2015,10
"Âm Thầm Bên Em | OFFICIAL MUSIC VIDEO | Sơn Tùng M-TP","2015-08-21 00:00:00",850,167945535,933055,98510,2015-08,2015,8
"TVC OISHI C+ | Sơn Tùng M-TP | 30'' version","2015-08-21 00:00:00",30,942748,9280,314,2015-08,2015,8
"Âm Thầm Bên Em | Behind The Scenes","2015-08-17 00:00:00",157,868656,8305,496,2015-08,2015,8
"Sơn Tùng M-TP | Âm Thầm Bên Em (Official MV Teaser)","2015-08-06 00:00:00",60,1063633,10704,637,2015-08,2015,8
"Âm Thầm Bên Em | Sơn Tùng M-TP | LIVE STREAMING | BẢN CHÍNH THỨC","2015-08-06 00:00:00",1180,5809955,39122,1681,2015-08,2015,8
"Sơn Tùng M-TP | Tiến Lên Việt Nam Ơi! | Bản Chính Thức","2015-06-16 00:00:00",218,5226277,66222,3891,2015-06,2015,6
"Sơn Tùng M-TP | Tiến Lên Việt Nam Ơi!  (TEASING VERSION)","2015-06-12 00:00:00",34,385142,7509,385,2015-06,2015,6
"Sơn Tùng M-TP: Save the date 05/07/2015","2015-05-21 00:00:00",137,568167,9416,550,2015-05,2015,5
"MÓN QUÀ ĐẶC BIỆT CỦA M-TP (Phần 2)","2015-04-25 00:00:00",993,1922224,18867,1730,2015-04,2015,4
"MÓN QUÀ ĐẶC BIỆT CỦA M-TP (Phần 1)","2015-04-23 00:00:00",719,2226486,21431,960,2015-04,2015,4
"Sơn Tùng M-TP - Chắc Ai Đó Sẽ Về","2015-01-30 00:00:00",315,55852134,375436,31132,2015-01,2015,1
